trip_quarter,taxi_company,city,city_population,total_trips,unique_taxis,total_trip_seconds,avg_trip_seconds,total_trip_miles,avg_trip_miles,total_fare,avg_fare,total_tips,avg_tips,avg_pickup_latitude,avg_pickup_longitude,avg_mph_per_trip,avg_tips_per_hour,avg_fare_per_mile,avg_trip_duration_minutes,avg_total_revenue_per_trip,revenue_rank_within_city,trip_count_rank_within_city,fare_percentile_within_city,total_revenue_per_city,revenue_rank_within_company,total_revenue_per_company,revenue_contribution_percentage,trips_per_population,avg_trips_per_taxi,avg_revenue_trend
2019-04-01 00:00:00+00:00,5874 - 73628 Sergey Cab Corp.,Uptown,55137.0,9,1,15960,1773.3333333333333,85.10000000000001,9.455555555555556,245.0,27.222222222222225,13.399999999999999,1.488888888888889,41.92987464922222,-87.65717705933334,16.97440022357564,4.593632548804963,3.8536906930861354,29.555555555555557,28.711111111111112,41,43,1.0,4627390.0200000005,18,59697.0,6.44950708441311e-05,0.00016322977311061538,9.0,169939.97783321937
2018-01-01 00:00:00+00:00,Dispatch Taxi Affiliation,Douglas,20323.0,4053,67,2403600,593.0421909696515,9058.6,2.235035775968418,38988.26,9.619605230693338,3217.6500000000015,0.793893412287194,41.878335397034945,-87.63402345018521,11.861348281029162,6.173734731778744,6.351295115782581,9.884036516160885,10.41349864298052,26,26,0.140625,16317791.590000005,10,1111618.09,0.00970129310709946,0.19942921812724498,60.492537313432834,295812.4945093062
2018-04-01 00:00:00+00:00,3094 - 24059 G.L.B. Cab Co,Summit,11389.0,1,1,1620,1620.0,11.0,11.0,30.0,30.0,0.0,0.0,41.79259236,-87.769615453,24.444444444444443,0.0,2.727272727272727,27.0,30.0,54,38,0.24074074074074073,1160938.16,30,60240.75,5.8449820439438566e-06,8.780402142418122e-05,1.0,21243.312154915573
2013-04-01 00:00:00+00:00,Blue Ribbon Taxi Association Inc.,Hometown,4342.0,75,34,84060,1120.8000000000002,31.499999999999996,0.4200000000000001,1297.1999999999998,17.296000000000006,26.299999999999997,0.35066666666666657,41.76708335972,-87.72196069997337,0.5743144433453549,0.9806249999999997,47.51836299385934,18.680000000000003,17.646666666666665,3,3,1.0,15024.780000000004,57,34507697.51000002,0.0004542603641762833,0.017273146015660986,2.2058823529411766,1727.8006249999999
2016-07-01 00:00:00+00:00,4623 - 27290 Jay Kim,McKinley Park,15612.0,82,1,65820,802.6829268292681,225.70000000000005,2.7524390243902443,924.0,11.26829268292683,109.93,1.3406097560975614,41.87661338373171,-87.63632766568288,11.531892243378682,7.158755692998988,5.849736957566576,13.378048780487806,12.608902439024389,65,64,0.45454545454545453,16269345.440000003,16,60418.0,0.00016011344741475447,0.0052523699718165515,82.0,225890.18447820327
2015-04-01 00:00:00+00:00,5874 - 73628 Sergey Cab Corp.,Edgewater,54873.0,60,1,51900,865.0000000000002,305.59999999999985,5.093333333333334,833.2,13.886666666666665,26.99,0.44983333333333336,41.95939297429998,-87.65685799371673,21.521013831249928,2.178127338505342,3.5281639265389013,14.416666666666668,14.336499999999997,35,39,0.9821428571428571,7289838.3700000085,16,86322.15000000002,0.00018376146104476338,0.0010934339292548248,60.0,185722.05639722868
2017-07-01 00:00:00+00:00,"3721 - Santamaria Express, Alvaro Santamaria",North Center,34623.0,12,1,8280,690.0,21.2,1.7666666666666666,155.75,12.979166666666666,12.95,1.0791666666666666,41.93954591158334,-87.68219274674999,12.91784511784512,5.633838383838385,3.770011144865796,11.5,14.058333333333334,68,64,0.9054054054054054,9978878.27,20,42378.0,3.246429675065796e-05,0.00034659041677497616,12.0,243496.51752354033
2015-01-01 00:00:00+00:00,5074 - 54002 Ahzmi Inc,Lower West Side,34410.0,736,1,490440,666.3586956521743,2014.0999999999997,2.736548913043478,6889.800000000003,9.361141304347816,611.11,0.8303125,41.8878770316712,-87.63199395038454,12.804204228227157,5.181702269265286,5.196892733850133,11.105978260869577,10.19145380434782,32,31,0.5087719298245614,31561915.079999957,6,99605.75000000001,0.0017734818164662823,0.02138913106655042,736.0,766275.308198434
2022-10-01 00:00:00+00:00,Patriot Taxi Dba Peace Taxi Associat,Oak Park,52287.0,13,2,4966,382.0,34.92999999999999,2.686923076923077,112.0,8.615384615384617,8.0,0.6153846153846154,41.88399663361539,-87.75605317038462,24.54082098024599,2.8402366863905324,41.85923793639011,6.366666666666666,9.230769230769232,16,14,0.0,134130.63999999998,51,591627.2599999997,6.126133646129952e-05,0.00024862776598389655,6.5,4501.536518046708
2014-07-01 00:00:00+00:00,0118 - 42111 Godfrey S.Awir,Hyde Park,26893.0,75,1,77220,1029.6,508.9999999999999,6.786666666666666,1268.95,16.919333333333324,68.95,0.9193333333333334,41.80190913605335,-87.59494534292003,24.361582608242923,3.02960261960262,3.4756247109973604,17.16,17.838666666666672,19,18,0.7164179104477612,1161778.7499999965,18,143553.55,0.00023561512153757,0.0027888298070129773,75.0,29214.820412843983
